Natural Gas (MCF)	Heating Degree Days	Square Feet	Natural Gas (MCM)	Heating Degree Days (Celsius)
35.6	2068	1345	1.008079931	1148.888889
114.4	3641	1760	3.239447867	2022.777778
51.5	1848	1184	1.458317877	1026.666667
183.9	6862	1766	5.207469079	3812.222222
131.7	7386	3159	3.729329406	4103.333333
60.4	2262	1176	1.71033786	1256.666667
193.8	6417	2895	5.487805914	3565
38.6	5069	1510	1.093030487	2816.111111
192.6	7001	2489	5.453825692	3889.444444
163.2	6166	4401	4.621310243	3425.555556
87.8	7684	2192	2.486219604	4268.888889
50.8	2820	2051	1.438496081	1566.666667
60.4	2788	1316	1.71033786	1548.888889
148.8	4969	2737	4.213547575	2760.555556
80.6	7499	702	2.28233827	4166.111111
142.4	5560	2984	4.032319722	3088.888889
79.3	7624	1934	2.245526362	4235.555556
91.5	6323	2208	2.590991956	3512.777778
112.9	7474	2629	3.196972589	4152.222222
157.7	7011	3150	4.465567558	3895
149.6	4858	2570	4.236201056	2698.888889
72.6	6235	1006	2.055803454	3463.888889
142.1	3739	2030	4.023824667	2077.222222
158	4703	3362	4.474062613	2612.777778
97.5	6256	2045	2.760893068	3475.555556
60.2	2350	1315	1.704674489	1305.555556
77.4	5749	2722	2.191724343	3193.888889
99.2	3579	2329	2.809031717	1988.333333
71.9	2232	1216	2.035981658	1240
29.5	1021	1108	0.835347134	567.2222222
38.8	862	1766	1.098693857	478.8888889
119	7645	2942	3.369705386	4247.222222
73.9	7472	2433	2.092615361	4151.111111
81.1	5753	1704	2.296496696	3196.111111
69.7	3893	796	1.973684583	2162.777778
77.2	1384	1415	2.186060973	768.8888889
63	3411	1168	1.783961675	1895
63.7	931	2649	1.803783471	517.2222222
84.3	8440	3690	2.387110622	4688.888889
129.1	6829	3584	3.655705591	3793.888889
59	906	1795	1.670694267	503.3333333
115	7530	1495	3.256437978	4183.333333
69.2	1500	1326	1.959526157	833.3333333
66.1	1038	1632	1.871743916	576.6666667
136.8	3853	3710	3.873745351	2140.555556
111.8	3793	1695	3.165824052	2107.222222
120.5	7820	2768	3.412180664	4344.444444
79	2721	1359	2.237031307	1511.666667
95.4	4645	2712	2.701427679	2580.555556
65.4	4024	808	1.85192212	2235.555556
64.8	5097	2938	1.834932008	2831.666667
136.8	6377	1620	3.873745351	3542.777778
125.6	5837	1467	3.556596609	3242.777778
32.8	1333	2106	0.928792745	740.5555556
77.2	2065	1125	2.186060973	1147.222222
61	5269	694	1.727327971	2927.222222
100	2944	2959	2.831685198	1635.555556
52.4	1657	774	1.483803044	920.5555556
175.6	4673	1886	4.972439208	2596.111111
93.2	2093	1065	2.639130605	1162.777778
99.9	4373	1640	2.828853513	2429.444444
68.8	4302	2482	1.948199416	2390
130.1	7770	4227	3.684022443	4316.666667
143	7227	1591	4.049309833	4015
95.8	1776	1496	2.71275442	986.6666667
